,word,frequency,n_characters,romanized_form
跡象,跡象,2,7,jīxiàng
素可泰,素可泰,3,7,sùkětài
往來,往來,2,7,wǎnglái
利潤,利潤,2,5,lìrùn
可觀,可觀,2,6,kěguān
長遠,長遠,2,9,zhǎngyuǎn
執著,執著,2,6,zhízhù
羅曼諾夫,羅曼諾夫,4,11,luómànnuòfū
蠅頭小利,蠅頭小利,4,13,yíngtóuxiǎolì
做好,做好,2,6,zuòhǎo
佛羅里達,佛羅里達,4,9,fúluólǐdá
集結,集結,2,5,jíjié
待命區,待命區,3,9,dàimìngqū
志願軍,志願軍,3,10,zhìyuànjūn
警衛,警衛,2,7,jǐngwèi
略,略,1,3,lüè
糧食,糧食,2,8,liángshí
波多黎各,波多黎各,4,9,bōduōlígè
理想,理想,2,7,lǐxiǎng
空間站,空間站,3,12,kōngjiānzhàn
該處,該處,2,6,gāichù
朝,朝,1,4,cháo
南面,南面,2,7,nánmiàn
顯著,顯著,2,7,xiǎnzhù
塞薩利,塞薩利,3,7,sāisàlì
牢牢,牢牢,2,6,láoláo
掌握,掌握,2,7,zhǎngwò
行進,行進,2,7,xíngjìn
溫泉關,溫泉關,3,11,wēnquánguān
打算,打算,2,6,dǎsuàn
生長,生長,2,10,shēngzhǎng
發芽,發芽,2,4,fāyá
珍珠港,珍珠港,3,11,zhēnzhūgǎng
亞加亞,亞加亞,3,7,yàjiāyà
重兵,重兵,2,9,zhòngbīng
守護,守護,2,6,shǒuhù
召集,召集,2,6,zhàojí
龐大,龐大,2,6,pángdà
深入,深入,2,6,shēnrù
長久,長久,2,8,zhǎngjiǔ
征服戰,征服戰,3,11,zhēngfúzhàn
女皇,女皇,2,7,nǚhuáng
葉卡捷琳娜,葉卡捷琳娜,5,12,yèkǎjiélínnà
氣溫,氣溫,2,5,qìwēn
南京,南京,2,7,nánjīng
寬容,寬容,2,8,kuānróng
上海,上海,2,8,shànghǎi
小金人,小金人,3,10,xiǎojīnrén
自行,自行,2,6,zìxíng
卡,卡,1,2,kǎ
使用費,使用費,3,10,shǐyòngfèi
自動,自動,2,6,zìdòng
取款機,取款機,3,8,qǔkuǎnjī
取出,取出,2,5,qǔchū
用品,用品,2,7,yòngpǐn
校服,校服,2,6,xiàofú
修葺,修葺,2,5,xiūqì
收取,收取,2,6,shōuqǔ
大致,大致,2,5,dàzhì
普拉博沃,普拉博沃,4,8,pǔlābówò
銀河系,銀河系,3,7,yínhéxì
破解,破解,2,5,pòjiě
印尼,印尼,2,5,yìnní
民眾,民眾,2,8,mínzhòng
困惑,困惑,2,6,kùnhuò
無比,無比,2,4,wúbǐ
就職,就職,2,6,jiùzhí
佐科維,佐科維,3,8,zuǒkēwéi
離任,離任,2,5,lírèn
尤多約夫,尤多約夫,4,11,yóuduōyuēfū
大金人,大金人,3,8,dàjīnrén
成就獎,成就獎,3,13,chéngjiùjiǎng
終身,終身,2,9,zhōngshēn
哈默史密斯,哈默史密斯,5,11,hāmòshǐmìsī
赫爾勒,赫爾勒,3,7,hèěrlēi
拜訪,拜訪,2,7,bàifǎng
靈巧,靈巧,2,8,língqiǎo
萊尼,萊尼,2,5,láiní
緣,緣,1,4,yuán
光棍,光棍,2,8,guānggùn
暗示,暗示,2,5,ànshì
臥底,臥底,2,4,wòdǐ
霍默,霍默,2,5,huòmò
超能力,超能力,3,10,chāonénglì
科羅娜,科羅娜,3,7,kēluónà
產權,產權,2,8,chǎnquán
拍攝,拍攝,2,6,pāishè
有用,有用,2,7,yǒuyòng
遇見,遇見,2,6,yùjiàn
伊蓮娜,伊蓮娜,3,8,yīliánnà
發,發,1,2,fā
機場,機場,2,7,jīchǎng
環球,環球,2,7,huánqiú
影業,影業,2,6,yǐngyè
幸運兔,幸運兔,3,9,xìngyùntù
奧斯瓦,奧斯瓦,3,6,àosīwǎ
油價,油價,2,6,yóujià
正日,正日,2,7,zhèngrì
自傳,自傳,2,7,zìchuán
避免,避免,2,6,bìmiǎn
障礙,障礙,2,7,zhàngài
開設,開設,2,6,kāishè
紀實,紀實,2,5,jìshí
人工,人工,2,7,réngōng
論諾克斯,論諾克斯,4,10,lùnnuòkèsī
蘋果,蘋果,2,7,píngguǒ
道格拉斯,道格拉斯,4,9,dàogélāsī
曲線,曲線,2,6,qūxiàn
谷歌,谷歌,2,4,gǔgē
有加,有加,2,6,yǒujiā
受益,受益,2,6,shòuyì
類似,類似,2,6,lèishì
尷尬,尷尬,2,5,gāngà
製片人,製片人,3,10,zhìpiànrén
工作室,工作室,3,10,gōngzuòshì
挫折,挫折,2,6,cuòzhé
動畫,動畫,2,7,dònghuà
外貌,外貌,2,6,wàimào
三星,三星,2,7,sānxīng
戲劇性,戲劇性,3,8,xìjùxìng
患有,患有,2,7,huànyǒu
讚賞,讚賞,2,8,zànshǎng
歌劇,歌劇,2,4,gējù
招聘,招聘,2,7,zhāopìn
旅客,旅客,2,4,lǚkè
達成,達成,2,7,dáchéng
往往,往往,2,8,wǎngwǎng
貝瑞,貝瑞,2,6,bèiruì
晚報,晚報,2,6,wǎnbào
畢業,畢業,2,4,bìyè
碩士,碩士,2,7,shuòshì
學位,學位,2,6,xuéwèi
妹妹,妹妹,2,6,mèimèi
蘇格蘭人報,蘇格蘭人報,5,13,sūgélánrénbào
諾丁漢,諾丁漢,3,10,nuòdīnghàn
學說,學說,2,7,xuéshuō
日報,日報,2,5,rìbào
基里繆爾,基里繆爾,4,9,jīlǐmóuěr
版,版,1,3,bǎn
配置,配置,2,6,pèizhì
當下,當下,2,7,dāngxià
新世界,新世界,3,9,xīnshìjiè
銷量,銷量,2,9,xiāoliàng
五百萬,五百萬,3,8,wǔbǎiwàn
界面,界面,2,7,jièmiàn
托爾,托爾,2,5,tuōěr
威廉,威廉,2,7,wēilián
大使館,大使館,3,9,dàshǐguǎn
期待,期待,2,5,qīdài
不經,不經,2,6,bùjīng
毀壞,毀壞,2,7,huǐhuài
民兵,民兵,2,7,mínbīng
追殺,追殺,2,7,zhuīshā
替,替,1,2,tì
達爾南德,達爾南德,4,9,dáěrnándé
處死,處死,2,5,chùsǐ
戴高樂,戴高樂,3,8,dàigāolè
野心,野心,2,5,yěxīn
過度,過度,2,5,guòdù
崇拜,崇拜,2,8,chóngbài
頒布,頒布,2,5,bānbù
論壇,論壇,2,6,lùntán
民,民,1,3,mín
卡蘭芝,卡蘭芝,3,8,kǎlánzhī
吸食,吸食,2,5,xīshí
海洛,海洛,2,6,hǎiluò
墮落,墮落,2,6,duòluò
艾滋病,艾滋病,3,8,àizībìng
研發,研發,2,5,yánfā
太晚,太晚,2,6,tàiwǎn
轟炸機,轟炸機,3,9,hōngzhàjī
裝備,裝備,2,9,zhuāngbèi
黑客,黑客,2,5,hēikè
黨衛軍,黨衛軍,3,10,dǎngwèijūn
展會,展會,2,7,zhǎnhuì
廣州,廣州,2,9,guǎngzhōu
掛,掛,1,3,guà
居住權,居住權,3,9,jūzhùquán
迫,迫,1,2,pò
天津,天津,2,7,tiānjīn
外國人,外國人,3,9,wàiguórén
內地,內地,2,5,nèidì
曼德爾,曼德爾,3,7,màndéěr
商務,商務,2,7,shāngwù
熱門,熱門,2,5,rèmén
感,感,1,3,gǎn
改良,改良,2,8,gǎiliáng
信號燈,信號燈,3,10,xìnhàodēng
溶,溶,1,4,róng
碳酸,碳酸,2,7,tànsuān
飲料,飲料,2,7,yǐnliào
藥丸,藥丸,2,6,yàowán
接到,接到,2,6,jiēdào
拉布羅卡,拉布羅卡,4,9,lābùluókǎ
傑西卡,傑西卡,3,7,jiéxīkǎ
創始人,創始人,3,12,chuàngshǐrén
鷹,鷹,1,4,yīng
姍姍來遲,姍姍來遲,4,14,shānshānláichí
渴望,渴望,2,6,kěwàng
母子,母子,2,4,mǔzi
居住區,居住區,3,7,jūzhùqū
剛果,剛果,2,7,gāngguǒ
占領,占領,2,8,zhànlǐng
盧本巴希,盧本巴希,4,9,lúběnbāxī
高海拔,高海拔,3,8,gāohǎibá
炎熱,炎熱,2,5,yánrè
設立,設立,2,5,shèlì
欠佳,欠佳,2,7,qiànjiā
刻畫,刻畫,2,5,kèhuà
掙扎,掙扎,2,8,zhēngzhā
認證,認證,2,8,rènzhèng
經,經,1,4,jīng
情報,情報,2,7,qíngbào
比爾,比爾,2,4,bǐěr
格德,格德,2,4,gédé
索爾,索爾,2,5,suǒěr
巴斯,巴斯,2,4,bāsī
盈利,盈利,2,6,yínglì
心裡,心裡,2,5,xīnlǐ
思想,思想,2,7,sīxiǎng
方案,方案,2,6,fāngàn
套,套,1,3,tào
效果,效果,2,7,xiàoguǒ
殲擊機,殲擊機,3,8,jiānjījī
坐標,坐標,2,7,zuòbiāo
最為,最為,2,6,zuìwèi
知名,知名,2,7,zhīmíng
硬件,硬件,2,8,yìngjiàn
噴氣機,噴氣機,3,7,pēnqìjī
柏林,柏林,2,5,bólín
空運,空運,2,7,kōngyùn
偶極,偶極,2,4,ǒují
天線,天線,2,8,tiānxiàn
很高,很高,2,6,hěngāo
角,角,1,4,jiǎo
分辨率,分辨率,3,9,fēnbiànlǜ
簡單,簡單,2,7,jiǎndān
撰稿人,撰稿人,3,11,zhuàngǎorén
此前,此前,2,6,cǐqián
控制員,控制員,3,11,kòngzhìyuán
高精度,高精度,3,9,gāojīngdù
顯示器,顯示器,3,9,xiǎnshìqì
質疑,質疑,2,5,zhìyí
語音,語音,2,5,yǔyīn
指令,指令,2,7,zhǐlìng
指引,指引,2,6,zhǐyǐn
跑道,跑道,2,6,pǎodào
詹寧斯,詹寧斯,3,10,zhānníngsī
屏條,屏條,2,8,píngtiáo
漫遊,漫遊,2,6,mànyóu
文學獎,文學獎,3,11,wénxuéjiǎng
塊,塊,1,4,kuài
金牌,金牌,2,6,jīnpái
不快,不快,2,6,bùkuài
乎,乎,1,2,hū
血跡,血跡,2,5,xuèjī
謀殺案,謀殺案,3,8,móushāàn
案發,案發,2,4,ànfā
科隆,科隆,2,6,kēlóng
不來梅,不來梅,3,8,bùláiméi
韋斯,韋斯,2,5,wéisī
私下,私下,2,5,sīxià
施普林格,施普林格,4,10,shīpǔlíngé
帳戶,帳戶,2,7,zhànghù
和解,和解,2,5,héjiě
以色列,以色列,3,7,yǐsèliè
小木屋,小木屋,3,8,xiǎomùwū
燒毀,燒毀,2,7,shāohuǐ
群眾,群眾,2,8,qúnzhòng
榮譽,榮譽,2,6,róngyù
勳章,勳章,2,8,xūnzhāng
住房,住房,2,7,zhùfáng
追逐,追逐,2,7,zhuīzhú
烏爾里希,烏爾里希,4,8,wūěrlǐxī
街道賽,街道賽,3,9,jiēdàosài
住到,住到,2,6,zhùdào
施壓,施壓,2,5,shīyā
匈,匈,1,5,xiōng
協約,協約,2,6,xiéyuē
弗朗茨,弗朗茨,3,8,fúlǎngcí
國,國,1,3,guó
平等,平等,2,8,píngděng
君主制,君主制,3,9,jūnzhǔzhì
迪希邦登堡,迪希邦登堡,5,15,díxībāngdēngbǎo
解散,解散,2,6,jiěsàn
突破,突破,2,4,tūpò
如今,如今,2,5,rújīn
廣闊,廣闊,2,8,guǎngkuò
魯帕斯堡,魯帕斯堡,4,9,lǔpàsībǎo
流離失所,流離失所,4,11,liúlíshīsuǒ
修女們,修女們,3,8,xiūnǚmen
艾賓根,艾賓根,3,8,àibīngēn
重建,重建,2,9,chóngjiàn
電信,電信,2,7,diànxìn
簽,簽,1,4,qiān
拜登,拜登,2,7,bàidēng
梅爾丁根,梅爾丁根,4,12,méiěrdīnggēn
卡爾卡鬆,卡爾卡鬆,4,10,kǎěrkǎsōng
諸國,諸國,2,6,zhūguó
領地,領地,2,6,lǐngdì
衰落,衰落,2,8,shuāiluò
希臘人,希臘人,3,7,xīlàrén
沿用,沿用,2,7,yányòng
哪怕,哪怕,2,4,nǎpà
批,批,1,2,pī
山谷,山谷,2,6,shāngǔ
外界,外界,2,6,wàijiè
隔開,隔開,2,5,gékāi
分成,分成,2,8,fēnchéng
城區,城區,2,7,chéngqū
城邦制,城邦制,3,12,chéngbāngzhì
基督徒,基督徒,3,6,jīdūtú
城堡,城堡,2,8,chéngbǎo
母語版,母語版,3,7,mǔyǔbǎn
聖經,聖經,2,9,shèngjīng
跨海,跨海,2,6,kuàhǎi
大船,大船,2,7,dàchuán
擴張,擴張,2,8,kuòzhāng
遍布,遍布,2,6,biànbù
崗哨,崗哨,2,8,gǎngshào
來往,來往,2,7,láiwǎng
看作,看作,2,6,kànzuò
事業,事業,2,5,shìyè
起點,起點,2,6,qǐdiǎn
一丁點,一丁點,3,10,yīdīngdiǎn
衰亡,衰亡,2,9,shuāiwáng
肩負,肩負,2,6,jiānfù
西西里,西西里,3,6,xīxīlǐ
要塞,要塞,2,6,yàosài
運動場,運動場,3,12,yùndòngchǎng
特赦,特赦,2,5,tèshè
巫術,巫術,2,5,wūshù
殺害,殺害,2,6,shāhài
馮,馮,1,4,féng
別林斯高晉,別林斯高晉,5,14,biélínsīgāojìn
北卡羅來納,北卡羅來納,5,13,běikǎluóláinà
布蘭斯菲爾德,布蘭斯菲爾德,6,14,bùlánsīfēiěrdé
命運,命運,2,7,mìngyùn
長途,長途,2,7,zhǎngtú
征程,征程,2,10,zhēngchéng
船長,船長,2,10,chuánzhǎng
歐內斯特,歐內斯特,4,9,ōunèisītè
沙克爾頓,沙克爾頓,4,10,shākèěrdùn
爵士,爵士,2,6,juéshì
共,共,1,4,gòng
堅毅,堅毅,2,6,jiānyì
號,號,1,3,hào
橫穿,橫穿,2,9,héngchuān
習慣法,習慣法,3,8,xíguànfǎ
會務,會務,2,5,huìwù
皮洛士,皮洛士,3,8,píluòshì
新上限,新上限,3,12,xīnshàngxiàn
波羅的海,波羅的海,4,10,bōluódehǎi
頭腦,頭腦,2,6,tóunǎo
歷史性,歷史性,3,9,lìshǐxìng
符騰堡,符騰堡,3,9,fúténgbǎo
賣給,賣給,2,6,màigěi
製造商,製造商,3,11,zhìzàoshāng
喬格,喬格,2,6,qiáogé
萊辛巴哈,萊辛巴哈,4,10,láixīnbāhā
棉花廠,棉花廠,3,12,miánhuāchǎng
彼得,彼得,2,4,bǐdé
舊迴廊,舊迴廊,3,10,jiùhuíláng
市政廳,市政廳,3,12,shìzhèngtīng
修補,修補,2,5,xiūbǔ
大家,大家,2,5,dàjiā
四千,四千,2,6,sìqiān
金門,金門,2,6,jīnmén
植物園,植物園,3,9,zhíwùyuán
天文館,天文館,3,11,tiānwénguǎn
花園,花園,2,7,huāyuán
水族館,水族館,3,10,shuǐzúguǎn
舊金山人,舊金山人,4,13,jiùjīnshānrén
放鬆,放鬆,2,8,fàngsōng
舊金山,舊金山,3,10,jiùjīnshān
戰末,戰末,2,6,zhànmò
接管,接管,2,7,jiēguǎn
剩,剩,1,5,shèng
集會,集會,2,5,jíhuì
范圍,范圍,2,6,fànwéi
會不會,會不會,3,8,huìbùhuì
反對派,反對派,3,9,fǎnduìpài
世界報,世界報,3,9,shìjièbào
支持者,支持者,3,9,zhīchízhě
維多利亞,維多利亞,4,10,wéiduōlìyà
廣場,廣場,2,10,guǎngchǎng
迴避,迴避,2,5,huíbì
回應,回應,2,7,huíyīng
特蕾莎,特蕾莎,3,8,tèlěishā
消費,消費,2,7,xiāofèi
大台階,大台階,3,8,dàtáijiē
吸引,吸引,2,5,xīyǐn
各樣,各樣,2,6,gèyàng
裝有,裝有,2,9,zhuāngyǒu
消防,消防,2,8,xiāofáng
報警,報警,2,7,bàojǐng
信號,信號,2,6,xìnhào
電報,電報,2,7,diànbào
該區,該區,2,5,gāiqū
木偶,木偶,2,4,mùǒu
芳草地,芳草地,3,9,fāngcǎodì
芬蘭,芬蘭,2,6,fēnlán
讚美詩,讚美詩,3,9,zànměishī
嚴重性,嚴重性,3,12,yánzhòngxìng
凡爾賽,凡爾賽,3,8,fáněrsài
驚恐,驚恐,2,8,jīngkǒng
麵包,麵包,2,7,miànbāo
高漲,高漲,2,8,gāozhǎng
供應,供應,2,8,gōngyīng
沮喪,沮喪,2,6,jǔsàng
逃跑,逃跑,2,6,táopǎo
不夠,不夠,2,5,bùgòu
謹慎,謹慎,2,7,jǐnshèn
認,認,1,3,rèn
返場,返場,2,8,fǎnchǎng
屆,屆,1,3,jiè
所行,所行,2,7,suǒxíng
到此,到此,2,5,dàocǐ
新發展,新發展,3,9,xīnfāzhǎn
蘇伊士,蘇伊士,3,7,sūyīshì
所言,所言,2,6,suǒyán
大英,大英,2,6,dàyīng
局限,局限,2,6,júxiàn
國社黨,國社黨,3,10,guóshèdǎng
各處,各處,2,5,gèchù
贏回,贏回,2,7,yínghuí
農村,農村,2,7,nóngcūn
鍍銅,鍍銅,2,6,dùtóng
山上,山上,2,9,shānshàng
莫斯克尼,莫斯克尼,4,8,mòsīkèní
頂部,頂部,2,6,dǐngbù
路德,路德,2,4,lùdé
急劇,急劇,2,4,jíjù
下滑,下滑,2,6,xiàhuá
工黨,工黨,2,8,gōngdǎng
選票,選票,2,8,xuǎnpiào
順序,順序,2,6,shùnxù
熱烈,熱烈,2,5,rèliè
總理,總理,2,6,zǒnglǐ
伊斯坦堡,伊斯坦堡,4,10,yīsītǎnbǎo
限額,限額,2,5,xiàné
博斯普魯斯,博斯普魯斯,5,10,bósīpǔlǔsī
阻礙,阻礙,2,4,zǔài
轉運,轉運,2,8,zhuǎnyùn
黑海,黑海,2,6,hēihǎi
戰艦,戰艦,2,8,zhànjiàn
遺址,遺址,2,5,yízhǐ
紅銅,紅銅,2,8,hóngtóng
木乃伊,木乃伊,3,7,mùnǎiyī
冰人,冰人,2,7,bīngrén
奧茲,奧茲,2,4,àozī
共和歷,共和歷,3,8,gònghélì
雨月,雨月,2,5,yǔyuè
嫌疑犯,嫌疑犯,3,9,xiányífàn
國會山,國會山,3,10,guóhuìshān
投票權,投票權,3,11,tóupiàoquán
合法化,合法化,3,7,héfǎhuà
流放,流放,2,7,liúfàng
歸家,歸家,2,6,guījiā
迫害犯,迫害犯,3,8,pòhàifàn
幾十,幾十,2,5,jǐshí
乾預,乾預,2,6,qiányù
外流,外流,2,6,wàiliú
外邊界,外邊界,3,10,wàibiānjiè
線,線,1,4,xiàn
埃斯特角,埃斯特角,4,10,āisītèjiǎo
遠征,遠征,2,9,yuǎnzhēng
跟踪,跟踪,2,7,gēnzōng
紐約州,紐約州,3,10,niǔyuēzhōu
薩拉託加,薩拉託加,4,10,sàlātuōjiā
擊,擊,1,2,jī
適當,適當,2,7,shìdāng
移民者,移民者,3,8,yímínzhě
殖民者,殖民者,3,9,zhímínzhě
趕來,趕來,2,6,gǎnlái
維和,維和,2,5,wéihé
不前,不前,2,6,bùqián
停滯,停滯,2,7,tíngzhì
革新,革新,2,5,géxīn
原聲,原聲,2,9,yuánshēng
有的,有的,2,5,yǒude
糾紛,糾紛,2,6,jiūfēn
以往,以往,2,6,yǐwǎng
到底,到底,2,5,dàodǐ
想出,想出,2,8,xiǎngchū
塑造,塑造,2,5,sùzào
安東尼奧,安東尼奧,4,10,āndōngníào
高迪,高迪,2,5,gāodí
後殿,後殿,2,7,hòudiàn
拱璧,拱璧,2,6,gǒngbì
橫向,橫向,2,9,héngxiàng
眾多,眾多,2,8,zhòngduō
任職,任職,2,6,rènzhí
造山,造山,2,7,zàoshān
運動,運動,2,7,yùndòng
稱作,稱作,2,8,chēngzuò
地殼,地殼,2,4,dìké
潛沒,潛沒,2,7,qiánméi
利納雷斯,利納雷斯,4,9,lìnàléisī
英國人,英國人,3,10,yīngguórén
奧爾巴尼,奧爾巴尼,4,8,àoěrbāní
伯納德,伯納德,3,6,bónàdé
傷,傷,1,5,shāng
心,心,1,3,xīn
舒爾曼,舒爾曼,3,8,shūěrmàn
支,支,1,3,zhī
卡普亞,卡普亞,3,6,kǎpǔyà
非法,非法,2,5,fēifǎ
徵兵,徵兵,2,9,zhēngbīng
預料,預料,2,6,yùliào
凱撒軍,凱撒軍,3,8,kǎisājūn
便宜,便宜,2,6,piányí
政期,政期,2,7,zhèngqī
親自,親自,2,5,qīnzì
攔截,攔截,2,6,lánjié
科瑞,科瑞,2,5,kēruì
保民官,保民官,3,10,bǎomínguān
先例,先例,2,6,xiānlì
史無前例,史無前例,4,11,shǐwúqiánlì
確鑿,確鑿,2,6,quèzáo
無疑,無疑,2,4,wúyí
回答,回答,2,5,huídá
領事,領事,2,7,lǐngshì
角逐,角逐,2,6,juézhú
數字化,數字化,3,8,shùzìhuà
手無寸鐵,手無寸鐵,4,12,shǒuwúcùntiě
勿,勿,1,2,wù
極為,極為,2,5,jíwèi
發行,發行,2,6,fāxíng
哈德遜河,哈德遜河,4,9,hādéxùnhé
變種,變種,2,9,biànzhǒng
外部,外部,2,5,wàibù
使用者,使用者,3,10,shǐyòngzhě
英國法,英國法,3,9,yīngguófǎ
十世,十世,2,6,shíshì
五世,五世,2,5,wǔshì
女兒們,女兒們,3,7,nǚérmen
繼承,繼承,2,7,jìchéng
順位,順位,2,7,shùnwèi
她們,她們,2,5,tāmen
姨媽,姨媽,2,4,yímā
伊莎貝拉,伊莎貝拉,4,10,yīshābèilā
靠前,靠前,2,7,kàoqián
安立奎,安立奎,3,7,ānlìkuí
布宜諾斯艾利斯,布宜諾斯艾利斯,7,15,bùyínuòsīàilìsī
聯邦化,聯邦化,3,11,liánbānghuà
任命,任命,2,7,rènmìng
新將軍,新將軍,3,11,xīnjiāngjūn
事宜,事宜,2,5,shìyí
碰到,碰到,2,7,pèngdào
藝名,藝名,2,6,yìmíng
演說,演說,2,7,yǎnshuō
公頃,公頃,2,8,gōngqǐng
熱愛,熱愛,2,4,rèài
島上,島上,2,8,dǎoshàng
暴風雨,暴風雨,3,9,bàofēngyǔ
澳,澳,1,2,ào
超,超,1,4,chāo
碰撞,碰撞,2,10,pèngzhuàng
塞斯托聖喬瓦尼,塞斯托聖喬瓦尼,7,21,sāisītuōshèngqiáowǎní
馬匹,馬匹,2,4,mǎpǐ
旁邊,旁邊,2,8,pángbiān
球場,球場,2,8,qiúchǎng
見面,見面,2,8,jiànmiàn
賽馬場,賽馬場,3,10,sàimǎchǎng
吞噬,吞噬,2,6,tūnshì
木製,木製,2,5,mùzhì
看台,看台,2,6,kàntái
其餘,其餘,2,4,qíyú
馬厩,馬厩,2,5,mǎjiù
拆毀,拆毀,2,7,chāihuǐ
六世,六世,2,6,liùshì
梵蒂岡,梵蒂岡,3,9,fàndìgāng
考量,考量,2,8,kǎoliáng
死刑,死刑,2,6,sǐxíng
小島,小島,2,7,xiǎodǎo
島民,島民,2,6,dǎomín
大海,大海,2,5,dàhǎi
俯瞰,俯瞰,2,5,fǔkàn
塔比,塔比,2,4,tǎbǐ
財產,財產,2,7,cáichǎn
紡織品,紡織品,3,10,fǎngzhīpǐn
批發商,批發商,3,9,pīfāshāng
陷入,陷入,2,6,xiànrù
逃離,逃離,2,5,táolí
回程,回程,2,8,huíchéng
抱,抱,1,3,bào
施加,施加,2,6,shījiā
煩事,煩事,2,6,fánshì
丁丁,丁丁,2,8,dīngdīng
歷險記,歷險記,3,8,lìxiǎnjì
拍成,拍成,2,8,pāichéng
華特,華特,2,5,huátè
徒勞,徒勞,2,5,túláo
婚外情,婚外情,3,10,hūnwàiqíng
低處,低處,2,5,dīchù
棵,棵,1,2,kē
棕櫚樹,棕櫚樹,3,9,zōnglǘshù
罪行,罪行,2,7,zuìxíng
紀念幣,紀念幣,3,8,jìniànbì
本質,本質,2,6,běnzhì
艦隊,艦隊,2,7,jiànduì
英倫,英倫,2,7,yīnglún
島,島,1,3,dǎo
奧斯特利茨,奧斯特利茨,5,10,àosītèlìcí
破滅,破滅,2,5,pòmiè
上任,上任,2,8,shàngrèn
首相,首相,2,9,shǒuxiàng
格林威爾,格林威爾,4,10,gélínwēiěr
閣下,閣下,2,5,géxià
沙皇,沙皇,2,8,shāhuáng
菲奧雷洛,菲奧雷洛,4,11,fēiàoléiluò
聖公會,聖公會,3,12,shènggōnghuì
餘生,餘生,2,7,yúshēng
新教,新教,2,7,xīnjiào
員,員,1,4,yuán
宇宙,宇宙,2,6,yǔzhòu
受訓,受訓,2,7,shòuxùn
聖塞西莉亞,聖塞西莉亞,5,14,shèngsāixīlìyà
堵塞,堵塞,2,4,dǔsè
維勒訥沃,維勒訥沃,4,10,wéilēinèwò
錢幣,錢幣,2,6,qiánbì
迫使,迫使,2,5,pòshǐ
銷售,銷售,2,8,xiāoshòu
收藏家,收藏家,3,11,shōucángjiā
起伏,起伏,2,4,qǐfú
手工,手工,2,8,shǒugōng
加工品,加工品,3,10,jiāgōngpǐn
墓塚,墓塚,2,7,mùzhǒng
政績,政績,2,7,zhèngjī
卡拉布里亞,卡拉布里亞,5,10,kǎlābùlǐyà
皇家區,皇家區,3,10,huángjiāqū
薩謨奈,薩謨奈,3,7,sàmónài
莫利塞,莫利塞,3,7,mòlìsāi
巴西利卡塔,巴西利卡塔,5,10,bāxīlìkǎtǎ
專心,專心,2,8,zhuānxīn
象徵,象徵,2,10,xiàngzhēng
大革命,大革命,3,8,dàgémìng
科西嘉,科西嘉,3,7,kēxījiā
砲兵,砲兵,2,7,pàobīng
宣稱,宣稱,2,9,xuānchēng
波拿巴,波拿巴,3,6,bōnábā
馬倫哥,馬倫哥,3,7,mǎlúngē
定,定,1,4,dìng
清醒,清醒,2,8,qīngxǐng
滴,滴,1,2,dī
德,德,1,2,dé
布呂因,布呂因,3,7,bùlǚyīn
是否是,是否是,3,9,shìfǒushì
親戚,親戚,2,5,qīnqī
墜毀,墜毀,2,7,zhuìhuǐ
調查者,調查者,3,10,diàocházhě
拉里,拉里,2,4,lālǐ
萬斯,萬斯,2,5,wànsī
明鏡,明鏡,2,8,míngjìng
需時,需時,2,5,xūshí
周刊,周刊,2,7,zhōukān
駕駛員,駕駛員,3,10,jiàshǐyuán
迫降,迫降,2,7,pòjiàng
沉入,沉入,2,6,chénrù
海底,海底,2,5,hǎidǐ
沖上,沖上,2,10,chōngshàng
坦桑尼亞,坦桑尼亞,4,11,tǎnsāngníyà
波音,波音,2,5,bōyīn
襟翼,襟翼,2,5,jīnyì
得出,得出,2,5,déchū
君特,君特,2,5,jūntè
不行,不行,2,6,bùxíng
傻,傻,1,3,shǎ
明確,明確,2,7,míngquè
數百萬,數百萬,3,9,shùbǎiwàn
買家,買家,2,6,mǎijiā
秒鐘,秒鐘,2,9,miǎozhōng
科貝爾,科貝爾,3,7,kēbèiěr
賽季,賽季,2,5,sàijì
季末,季末,2,4,jìmò
網球,網球,2,7,wǎngqiú
公開賽,公開賽,3,10,gōngkāisài
轟動,轟動,2,8,hōngdòng
參賽者,參賽者,3,9,cānsàizhě
小威廉姆斯,小威廉姆斯,5,15,xiǎowēiliánmǔsī
半決賽,半決賽,3,9,bànjuésài
里面,里面,2,6,lǐmiàn
鬧鐘,鬧鐘,2,8,nàozhōng
應付,應付,2,6,yīngfù
安息,安息,2,4,ānxī
嵌入,嵌入,2,6,qiànrù
石灰岩,石灰岩,3,9,shíhuīyán
墳墓,墳墓,2,5,fénmù
新結論,新結論,3,9,xīnjiélùn
波托馬克河,波托馬克河,5,11,bōtuōmǎkèhé
極,極,1,2,jí
克拉納赫,克拉納赫,4,8,kèlānàhè
風力,風力,2,6,fēnglì
煤,煤,1,3,méi
良好,良好,2,8,liánghǎo
形勢,形勢,2,7,xíngshì
股市,股市,2,5,gǔshì
立即,立即,2,4,lìjí
繁榮,繁榮,2,7,fánróng
遭遇,遭遇,2,5,zāoyù
不順,不順,2,6,bùshùn
老盧卡斯,老盧卡斯,4,9,lǎolúkǎsī
調離,調離,2,6,diàolí
估計,估計,2,4,gūjì
幅,幅,1,2,fú
引人注目,引人注目,4,11,yǐnrénzhùmù
煩惱,煩惱,2,6,fánnǎo
跡像,跡像,2,7,jīxiàng
消失,消失,2,7,xiāoshī
德新社,德新社,3,8,déxīnshè
